Index,Dish Name,Base,Cooking Time,Calories per Serving,Ingredients & Quantity,Level of Cost,Dosage Size
1,Spaghetti Cacio e Pepe,Spaghettoni [320][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,Not specified, - Pecorino Romano [200g] - Black Pepper - Salt,Low,4
2,Spaghetti alla Carbonara,Spaghetti [350][g],Preparation: 10 minutes Cooking: 20 minutes Total: 30 minutes,570 per serving, - Guanciale [150g] - Pecorino Romano [50g] - Eggs [6] - Black Pepper - Salt,Medium,4
3,Spaghetti all'Amatriciana,Spaghetti [400][g],Preparation: 10 minutes Cooking: 25 minutes Total: 35 minutes,580 per serving, - Guanciale [250g] - Pecorino Romano [75g] - Peeled Tomatoes [500g] - Dry White Wine [50g] - Extra Virgin Olive Oil - Black Pepper - Salt - Chilli Pepper ,Medium,4
4,Pasta alla Gricia,Rigatoni [350][g],Preparation: 10 minutes Cooking: 20 minutes Total: 30 minutes,520 per serving, - Guanciale [250g] - Pecorino Romano [100g] - Black Pepper - Salt,Low,4
5,Orecchiette con le Cime di Rapa,Orecchiette [320][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,480 per serving, - Anchovy Fillets [4] - Turnip Greens [1kg] - Garlic [2 cloves] - Extra Virgin Olive Oil [40g] - Salt - Chilli Pepper,Low,4
6,Cannelloni Ricotta e Spinaci,Cannelloni [300][g],Preparation: 20 minutes Cooking: 40 minutes Total: 60 minutes,450 per serving, - Spinach [1kg] - Ricotta [500g] - Parmesan [150g] - Eggs [2] - Garlic [1 clove] - Extra Virgin Olive Oil [30g] - Salt - Black Pepper - Grated Parmesan [50g] - Milk [1][l] - Butter [100 g] - Flour [100 g] - Nutmeg,Medium,4
7,Gnocchi alla Romana,Semolina [200][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,430 per serving, - Milk [1][l] - Butter [100g] - Parmesan [100g] - Eggs [2] - Salt - Black Pepper - Nutmeg,Low,4
8,Pasta al Forno,Rigatoni [400][g],Preparation: 30 minutes Cooking: 40 minutes Total: 70 minutes,600 per serving, - Ground Beef [300g] - Ground Pork Sausage [300g] - Celery - Carrots [1] - Onions [1] - Tomato Puree [700 ml] - Red Wine [100 ml] - Extra Virgin Olive Oil [30 g] - Salt - Black Pepper - Scamorza [250g] - Parmesan [100g] - Eggs [3] - Milk [500 ml] - Butter [50 g] - Flour [50 g] - Nutmeg,Medium,4
9,Ravioli ricotta e spinaci,Ravioli [400][g],Preparation: 30 minutes Cooking: 10 minutes Total: 40 minutes,490 per serving, - Flour [00][500g] - Eggs [5] - Semolina Flour [50][g] - Olive Oil [1][tbsp] - Ricotta [500][g] - Spinach [250][g] - Parmesan Cheese [100][g] - Nutmeg [1][pinch] - Salt [to taste] - Pepper [to taste],Medium,4
10,Spaghetti allo Scoglio,Spaghetti [350][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,550 per serving, - Mussels [500][g] - Clams [500][g] - Prawns [400][g] - Squid [300][g] - Garlic [2][cloves] - Parsley [1][bunch] - Cherry Tomatoes [300][g] - White Wine [50][ml] - Extra Virgin Olive Oil [50][ml] - Salt [to taste] - Black Pepper [to taste] - Chilli Flakes [to taste],High,4
11,Genovese,Ziti [400][g],Preparation: 20 minutes Cooking: 3 hours Total: 3 hours 20 minutes,570 per serving, - Beef  [1][kg] - Onions  [2][kg] - Carrots [100][g] - Celery [100][g] - Lard  [50][g] - White Wine [200][ml] - Salt [to taste] - Black Pepper [to taste],Medium,4
